restaurant_name,category,pricing_for_2,locality,dining_rating,dining_review_count,delivery_rating,delivery_rating_count,website,address,phone_no,latitude,longitude,known_for2,known_for22
Bokan,"Finger Food, Asian, Continental, North Indian, Italian",1500,"east of kailash, new delhi",4.0,952,3.7,34,https://www.zomato.com/ncr/bokan-east-of-kailash-new-delhi,"36, Community Centre, East of Kailash, New Delhi",9.17303E+11,28.55888961,77.24634625,interiors and outside seating with graffiti on the walls,not specified
Yes Minister - Pub & Kitchen,"North Indian, Continental, Italian",1800,"essex farms, adchini, new delhi",4.0,873,0.0,0,https://www.zomato.com/ncr/yes-minister-pub-kitchen-adchini-new-delhi,"Essex Farms, 4, Adchini, New Delhi",9.19711E+11,28.54359989,77.20204286,"vanilla creme brulee, chocolate fudge, cocktails, dessert, salad, starters","gastronomical experience, themed decor, ample seating area, ambience was super cool, view, manager"
Ditas,"European, Continental, Asian, Desserts",1800,"mehrauli, new delhi",4.0,214,0.0,6,https://www.zomato.com/ncr/ditas-mehrauli-new-delhi,"H 5, Ward 1, Kalka Das Marg, Mehrauli, New Delhi",9.17429E+11,28.52659031,77.18516707,"paneer malai kofta, vegetable seekh, pudina parantha, murg makhani, chicken lababdar, tomato soup","sunset view, magnificent view, amazing views, wonderful view, spectacular view, awesome view"
Parikrama - The Revolving Restaurant,"North Indian, Mughlai",2600,"connaught place, new delhi",4.0,4097,0.0,0,https://www.zomato.com/ncr/parikrama-the-revolving-restaurant-connaught-place-new-delhi,"22, Antriksh Bhavan, Kasturba Gandhi Marg, Connaught Place, New Delhi",9.11124E+11,28.6283985,77.2223958,lunch  buffet dealtuesday and thursday veg 599/-non veg 649/-no other promotion applicable. 1 round of soft drink/ice tea complimentary,"sizzling brownie, baked pasta, paneer tikka pizza, buffet, dahi kabab, bbq"
Over The Top - Live Barbeque Grill,"North Indian, Mughlai, Asian, Italian, Fast Food, BBQ",1400,"janakpuri, new delhi",4.0,1011,3.7,1186,https://www.zomato.com/ncr/over-the-top-live-barbeque-grill-janakpuri-new-delhi,"B 1/633, 3rd Floor, Near Max Showroom, Janakpuri, New Delhi",9.199E+11,28.63196667,77.08454065,"everthing is perfect, ambience is very nice, amazing food and experience, weekend brunch, good music, elaborate menu",not specified
Miss Nora,"Asian, Japanese, Sushi, Oriental, Desserts, Beverages",1600,"rajouri garden, new delhi",4.0,167,4.3,770,https://www.zomato.com/ncr/miss-nora-rajouri-garden-new-delhi,"103, 104, 1st Floor, Rcube Monad Mall, Rajouri Garden, New Delhi",9.19999E+11,28.65051626,77.12185856,"best staff, sanitised service, nice concept, variety of pizza, served quickly, clean and hygienic place",not specified
Infinity Lounge & Bar,"Finger Food, North Indian, Italian, Chinese, Continental",2000,"punjabi bagh, new delhi",4.0,276,0.0,4,https://www.zomato.com/ncr/infinity-lounge-bar-punjabi-bagh-new-delhi,"11C, 2nd And 3rd Floor, North West Avenue Road, Punjabi Bagh, New Delhi",9.1729E+11,28.66685,77.122736,"great place to chill out, outdoor dining, sanitised service, economical price, large servings, comforting atmosphere",not specified
Ambra,"Italian, Fast Food, Desserts, Panini, Beverages, Salad",2000,"greater kailash 2 (gk2), new delhi",4.0,114,4.3,260,https://www.zomato.com/ncr/ambra-greater-kailash-gk-2-new-delhi,"Shop 1, Narmada Shopping Complex, Alaknanda, Greater Kailash 2 (GK 2), New Delhi",9.19311E+11,28.52780512,77.24695947,"crispy honey potatoes, soya tikka, chicken keema, fish fingers, mocktail, chilli potatoes","flair bartending, fairly priced beers, casual dress code, ambience is very nice, singer, live band"
Oh My God,"North Indian, Mughlai, Fast Food, Continental, Beverages",1400,"connaught place, new delhi",4.0,1448,0.0,0,https://www.zomato.com/ncr/oh-my-god-connaught-place-new-delhi,"14-15, 2nd Floor, Block F, Inner Circle, Connaught Place, New Delhi",9.19599E+11,28.63156204,77.22046327,"chicken kulcha, momo platter, keema kulcha, cheese balls, crispy corn, spring roll","extensive bar menu, fusion dishes, gastronomical experience, good for large groups, rooftop, staff service"
Lazy Bear,"North Indian, Continental, Chinese",1500,"delhi university-gtb nagar, new delhi",4.0,411,0.0,0,https://www.zomato.com/ncr/lazy-bear-delhi-university-gtb-nagar-new-delhi,"2648, 2nd Floor, Delhi University-GTB Nagar, New Delhi",9.2E+11,28.69279583,77.20483974,"cheese poppers, paneer tikka pizza, veg spring rolls, virgin mojito, chicken wings, chilli paneer","every thing is best, sports bar, happy hour, cashless payments, pocket friendly place, inexpensive"
Sky Heart Lounge And Bar,"Bar Food, Chinese, Mughlai, North Indian, Fast Food, Desserts",1100,"punjabi bagh, new delhi",4.0,647,3.4,29,https://www.zomato.com/ncr/sky-heart-lounge-and-bar-punjabi-bagh-new-delhi,"Plot 9, 3rd Floor, Club Road, Punjabi Bagh, New Delhi",9.19822E+11,28.6666065,77.12290496,"classic hot chocolate, double decker sandwich, banana walnut cake, veg club sandwich, mushroom sandwich, paneer tikka sandwich","cost efficient, coffee date, soothing ambience, peaceful ambience, pretty place, calm"
Jugmug Thela,"Cafe, Italian, Fast Food, Sandwich",600,"champa gali, saket, new delhi",4.0,1474,4.4,138,https://www.zomato.com/ncr/jugmug-thela-saket-new-delhi,"Shed 4, Khasra 258, Lane 3, Westend Marg, Saidulajab, Near Kuldeep House, Saket, New Delhi",9.19199E+13,28.51729144,77.19979014,"croissant, ravioli, lasagna, cheesecake, pizzas, desserts","ambience was super cool, excellent location, cashless payments, variety of pizza, beautiful ambience, weekend brunch"
Masson's,"Cafe, Bakery, Italian, Desserts, Pizza, Beverages",700,"model town 2, new delhi",4.0,148,4.3,630,https://www.zomato.com/ncr/massons-model-town-2-new-delhi,"B-3, 1st Floor, Model Town 2, New Delhi",9.18861E+11,28.70510493,77.19005808,"music and ambience, service time, huge place, ambience was super cool, rooftop, customizable dishes",not specified
Lost Lemons,"North Indian, European, Mediterranean",1500,"sector 29, gurgaon",4.0,190,0.0,1,https://www.zomato.com/ncr/lost-lemons-sector-29,"SCO 27/28, Sector 29, Gurgaon",+91 8068974471,28.46892856,77.0633569,"masala tea, sunday brunch, salads, desserts, dosa, fish","sophisticated, worth the price, quality of food, brunch, great hospitality, live music"
Pavilion 75 - WelcomHotel Dwarka,"North Indian, Continental, Italian, Desserts",1800,"welcomhotel dwarka, sector 10, dwarka, new delhi",4.0,502,4.2,151,https://www.zomato.com/ncr/pavilion-75-welcomhotel-dwarka-sector-10-dwarka-new-delhi,"Plot 3, Sector 10, Dwarka, New Delhi",+91 8068972893,28.5794481,77.0567208,"neapolitan style pizza, vietnamese coffee, spicy lamb, classic margherita pizza, pepperoni pizza, pastas","fusion dishes, family place, outdoor seating, vibe, cafe, courteous staff"
